Rental_type,Bedroom,Bathroom,Rent,Month_Available,Gender_Suitability,Location,Area,adm3_pcode
Seat,1,1,3500,August,Male,"RajaBazar,Tejgaon",tejgaon,BD302690
Seat,1,1,3500,August,Male,"Shukrabad,Tejgaon",tejgaon,BD302690
Seat,1,1,3500,August,Male,"Shukrabad,Tejgaon",tejgaon,BD302690
Seat,1,1,3500,August,Male,"WestRajarbazar,Tejgaon",tejgaon,BD302690
Seat,1,1,3500,August,Male,"Sector14,Uttara",uttara,BD302695
Seat,1,1,3500,August,Male,"Sector4,Uttara",uttara,BD302695
Seat,1,1,3500,August,Female,"Sector10,Uttara",uttara,BD302695
Seat,1,1,3500,August,Male,"Sector14,Uttara",uttara,BD302695
Seat,1,1,3500,August,Female,"Abdullahpur,Uttara",uttara,BD302695
Seat,1,1,3500,August,Male,"Sector4,Uttara",uttara,BD302695
Seat,1,1,3500,August,Male,"Sector12,Uttara",uttara,BD302695
Seat,1,1,3500,July,Male,"Uttara,Dhaka",uttara,BD302695
Seat,1,1,3500,September,Female,"Sector10,Uttara",uttara,BD302695
Seat,1,1,3500,September,Male,"Sector12,Uttara",uttara,BD302695
Room,1,1,3500,August,Male,"Beparipara,Uttarkhan",uttarkhan,BD302696
Seat,1,1,3500,August,Male,"NatunBazar,Vatara",vatara,BD302695
Seat,1,1,3500,September,Male,"SayeedNagar,Vatara",vatara,BD302695
Seat,1,1,3550,August,Male,"BaddaDITProject,Badda",badda,BD302604
Seat,1,1,3550,August,Female,"Lalbag,Dhaka",lalbag,BD302642
Room,1,1,3550,July,Male,"Sector9,Uttara",uttara,BD302695
Seat,1,1,3600,September,Male,"Badda,Dhaka",badda,BD302604
Seat,1,1,3600,August,Female,"Shangkar,Dhanmondi",dhanmondi,BD302616
Seat,1,1,3600,August,Female,"Shangkar,Dhanmondi",dhanmondi,BD302616
Seat,1,1,3600,August,Male,"Zigatola,Dhanmondi",dhanmondi,BD302616
Seat,1,1,3600,September,Female,"Shangkar,Dhanmondi",dhanmondi,BD302616
Seat,1,1,3600,August,Male,"Mohakhali,Gulshan",gulshan,BD302626
Seat,1,1,3600,September,Male,"Kafrul,Dhaka",kafrul,BD302630
Seat,1,1,3600,August,Male,"Nikunja2,Khilkhet",khilkhet,BD302637
Seat,1,1,3600,August,Male,"Nikunja2,Khilkhet",khilkhet,BD302637
Seat,1,1,3600,August,Male,"Palashi,Lalbag",lalbag,BD302642
Seat,1,1,3600,July,Female,"Azimpur,Lalbag",lalbag,BD302642
Seat,1,1,3600,July,Female,"Lalbag,Dhaka",lalbag,BD302642
Seat,1,1,3600,August,Male,"Mohammadpur,Dhaka",mohammadpur,BD302650
Seat,1,1,3600,August,Male,"SouthBanasree,Rampura",rampura,BD302667
Seat,1,1,3600,August,Male,"Vatara,Dhaka",vatara,BD302695
Seat,1,1,3625,August,Male,"Uttarpara,Khilkhet",khilkhet,BD302637
Seat,1,1,3630,August,Male,"Azimpur,Lalbag",lalbag,BD302642
Seat,1,1,3650,August,Male,"Modhubag,Rampura",rampura,BD302667
Seat,1,1,3650,August,Male,"Modhubag,Rampura",rampura,BD302667
Room,1,1,3650,September,Anyone,"WestRampura,Rampura",rampura,BD302667
Seat,1,1,3700,August,Male,"Sobhanbagh,Dhanmondi",dhanmondi,BD302616
Seat,1,1,3700,July,Female,"Dhanmondi15,Dhanmondi",dhanmondi,BD302616
Seat,1,1,3700,August,Female,"Shahjadpur,Gulshan",gulshan,BD302626
Seat,1,1,3700,September,Female,"Mohakhali,Gulshan",gulshan,BD302626
Seat,1,1,3700,August,Male,"Kalabagan,Dhaka",kalabagan,BD302633
Seat,1,1,3700,August,Male,"Nikunja2,Khilkhet",khilkhet,BD302637
Room,1,1,3700,August,Female,"Khilkhet,Dhaka",khilkhet,BD302637
Seat,1,1,3700,September,Male,"Nikunja2,Khilkhet",khilkhet,BD302637
Seat,1,1,3700,September,Male,"Nikunja2,Khilkhet",khilkhet,BD302637
Seat,1,1,3700,August,Female,"Mohammadpur,Dhaka",mohammadpur,BD302650
Seat,1,1,3700,September,Male,"Mohammadpur,Dhaka",mohammadpur,BD302650
Seat,1,1,3700,August,Male,"Moghbazar,Ramna",ramna,BD302666
Seat,1,1,3700,July,Male,"Sector7,Uttara",uttara,BD302695
Seat,1,1,3701,September,Male,"Shantibag,Shahjahanpur",shahjahanpur,BD302650
Seat,1,1,3730,September,Male,"Mirbag,Rampura",rampura,BD302667
Seat,1,1,3750,September,Female,"NorthBadda,Badda",badda,BD302604
Room,1,1,3750,September,Male,"AftabNagar,Badda",badda,BD302604
Seat,1,1,3750,September,Male,"MiddleBadda,Badda",badda,BD302604
Seat,1,1,3750,September,Male,"Dhanmondi15,Dhanmondi",dhanmondi,BD302616
Seat,1,1,3750,August,Male,"Nikunja2,Khilkhet",khilkhet,BD302637
Seat,1,1,3750,August,Male,"Nikunja2,Khilkhet",khilkhet,BD302637
Seat,1,1,3750,August,Male,"Nikunja2,Khilkhet",khilkhet,BD302637
Seat,1,1,3750,October,Female,"Nikunja2,Khilkhet",khilkhet,BD302637
Seat,1,1,3750,August,Male,"Lalbag,Dhaka",lalbag,BD302642
Seat,1,1,3750,August,Male,"Azimpur,Lalbag",lalbag,BD302642
Seat,1,1,3750,August,Male,"Mirpur1,Mirpur",mirpur,BD302648
Seat,1,1,3750,August,Male,"Mirpur2,Mirpur",mirpur,BD302648
Seat,1,1,3750,September,Female,"Mirpur2,Mirpur",mirpur,BD302648
Room,1,1,3750,August,Male,"Savar,Dhaka",savar,BD302672
Seat,1,1,3800,September,Male,"Kalabagan,Dhaka",kalabagan,BD302633
Room,1,1,3800,August,Male,"Khilkhet,Dhaka",khilkhet,BD302637
Room,1,1,3800,August,Male,"Uttarpara,Khilkhet",khilkhet,BD302637
Seat,1,1,3800,September,Male,"Lalbag,Dhaka",lalbag,BD302642
Seat,1,1,3800,August,Male,"Mirpur11,Mirpur",mirpur,BD302648
Seat,1,1,3800,September,Male,"Mirpur10,Mirpur",mirpur,BD302648
Seat,1,1,3800,August,Male,"Mohammadpur,Dhaka",mohammadpur,BD302650
Seat,1,1,3800,August,Male,"Tikkapara,Mohammadpur",mohammadpur,BD302650
Seat,1,1,3800,August,Male,"Paltan,Dhaka",paltan,BD302665
Seat,1,1,3800,August,Male,"Shantibag,Shahjahanpur",shahjahanpur,BD302650
Seat,1,1,3800,October,Female,"Tejgaon,Dhaka",tejgaon,BD302690
Seat,1,1,3800,September,Male,"RajaBazar,Tejgaon",tejgaon,BD302690
Seat,1,1,3800,August,Male,"Sector12,Uttara",uttara,BD302695
Seat,1,1,3800,September,Female,"Sector11,Uttara",uttara,BD302695
Seat,1,1,3805,August,Male,"Nikunja2,Khilkhet",khilkhet,BD302637
Seat,1,1,3850,August,Male,"Dhanmondi15,Dhanmondi",dhanmondi,BD302616
Seat,1,1,3850,July,Male,"Nikunja2,Khilkhet",khilkhet,BD302637
Seat,1,1,3850,September,Male,"Nikunja2,Khilkhet",khilkhet,BD302637
Seat,1,1,3850,September,Male,"Khilkhet,Dhaka",khilkhet,BD302637
Seat,1,1,3870,August,Male,"Khilkhet,Dhaka",khilkhet,BD302637
Seat,1,1,3875,August,Male,"Mohakhali,Gulshan",gulshan,BD302626
Seat,1,1,3900,August,Male,"Dhanmondi,Dhaka",dhanmondi,BD302616
